AMBULANCIA,GUA-566U,C9,G5,3,6
TRANSPORTE,GUA-382P,F6,H7,2,4
AMBULANCIA,GUA-179M,H4,C1,1,1
AMBULANCIA,GUA-971N,C5,A8,5,2
POLICIA,GUA-360S,H3,D9,3,4
POLICIA,GUA-686X,G3,B5,5,6
PARTICULAR,GUA-757D,F8,A5,5,6
POLICIA,GUA-216D,I6,C6,5,6
TRANSPORTE,GUA-132W,D5,C1,5,10
POLICIA,GUA-279N,G8,E8,5,9
POLICIA,GUA-410I,G6,E8,2,5
AMBULANCIA,GUA-515G,I6,I4,2,1
POLICIA,GUA-511A,B8,E6,2,0
AMBULANCIA,GUA-151K,F7,C4,5,4
PARTICULAR,GUA-400P,B2,A7,5,2
POLICIA,GUA-818N,B7,B8,3,7
PARTICULAR,GUA-724J,B4,G4,2,1
PARTICULAR,GUA-992P,I3,D7,2,6
TRANSPORTE,GUA-834N,H5,D7,2,2
POLICIA,GUA-245H,C9,I2,3,2
PARTICULAR,GUA-454M,F9,C1,3,8
PARTICULAR,GUA-343P,F6,H7,2,7
TRANSPORTE,GUA-933L,D4,D1,3,10
AMBULANCIA,GUA-195Y,C7,E6,5,0
PARTICULAR,GUA-270D,D9,D6,3,3
TRANSPORTE,GUA-375C,B8,D6,3,2
AMBULANCIA,GUA-778D,A8,G9,4,2
POLICIA,GUA-760H,I7,C4,3,6
TRANSPORTE,GUA-146G,F7,C1,4,1
POLICIA,GUA-678D,D5,G5,3,3
POLICIA,GUA-777V,A6,C6,3,4
PARTICULAR,GUA-289S,F1,C5,5,8
PARTICULAR,GUA-913O,I6,C1,3,0
PARTICULAR,GUA-772E,H7,D9,3,3
PARTICULAR,GUA-480A,H7,C6,5,7
PARTICULAR,GUA-557G,F7,F8,4,10
AMBULANCIA,GUA-532Q,D5,A4,5,2
PARTICULAR,GUA-244Q,I3,I4,4,6
PARTICULAR,GUA-471Z,C9,D6,1,9
AMBULANCIA,GUA-749V,G8,A7,5,10
AMBULANCIA,GUA-868N,D3,E4,1,10
POLICIA,GUA-551O,C6,C4,4,9
TRANSPORTE,GUA-286I,H5,H3,5,4
POLICIA,GUA-518D,I9,F5,4,4
PARTICULAR,GUA-103P,H6,F3,1,4
AMBULANCIA,GUA-245W,B1,D9,3,8
AMBULANCIA,GUA-900R,D8,D5,5,9
AMBULANCIA,GUA-174I,E3,D8,5,2
POLICIA,GUA-623S,G6,G5,5,3
POLICIA,GUA-143C,D6,A3,4,7
POLICIA,GUA-853R,B3,C6,5,6
AMBULANCIA,GUA-522S,C9,D3,1,4
TRANSPORTE,GUA-397J,E1,F9,4,8
TRANSPORTE,GUA-198U,C5,E2,2,6
POLICIA,GUA-496J,B6,F7,2,1
TRANSPORTE,GUA-546N,E3,G3,4,7
PARTICULAR,GUA-214A,E5,D1,1,6
TRANSPORTE,GUA-491J,F7,C4,5,8
TRANSPORTE,GUA-379M,D2,H6,2,3
POLICIA,GUA-581R,B2,I8,4,8
TRANSPORTE,GUA-691C,B1,F5,4,4
TRANSPORTE,GUA-260C,F8,B2,3,6
AMBULANCIA,GUA-423U,I3,H5,4,0
AMBULANCIA,GUA-493K,C4,D1,3,2
TRANSPORTE,GUA-239T,A3,C6,5,8
POLICIA,GUA-335C,H4,A2,5,6
POLICIA,GUA-372O,C8,C6,1,3
TRANSPORTE,GUA-729M,C7,E4,5,10
PARTICULAR,GUA-756W,H9,G2,1,8
POLICIA,GUA-753T,A8,G6,3,4
TRANSPORTE,GUA-823V,H6,C1,1,0
TRANSPORTE,GUA-907U,G7,D5,5,9
AMBULANCIA,GUA-925G,B3,E4,5,0
POLICIA,GUA-286B,H9,I1,3,1
PARTICULAR,GUA-672I,D4,D6,5,1
POLICIA,GUA-134Y,A1,G4,4,3
AMBULANCIA,GUA-701T,B6,G9,1,1
POLICIA,GUA-943R,I8,G7,2,7
POLICIA,GUA-590B,E4,G5,3,7
AMBULANCIA,GUA-403Y,B2,F5,3,3
PARTICULAR,GUA-570J,F5,E8,2,8
PARTICULAR,GUA-857N,B1,E4,4,3
TRANSPORTE,GUA-442D,F5,I2,1,9
TRANSPORTE,GUA-525B,F6,H6,1,5
POLICIA,GUA-495W,F6,C7,3,0
POLICIA,GUA-305X,I5,E2,4,3
AMBULANCIA,GUA-323M,E4,C4,4,6
POLICIA,GUA-440O,B9,I7,1,7
PARTICULAR,GUA-203X,H1,G4,4,5
PARTICULAR,GUA-836A,I5,B9,1,5
TRANSPORTE,GUA-637Y,F8,B5,2,5
POLICIA,GUA-137H,A5,C5,4,5
PARTICULAR,GUA-952H,D8,G9,1,2
TRANSPORTE,GUA-891X,I4,H8,4,2
TRANSPORTE,GUA-102U,G7,F2,5,2
PARTICULAR,GUA-571V,E7,A7,5,4
POLICIA,GUA-810A,D8,G2,3,8
POLICIA,GUA-812O,F8,D1,5,7
AMBULANCIA,GUA-719Y,G9,E7,3,4
TRANSPORTE,GUA-708D,B2,H6,2,9
